,country,Unnamed: 0_sum,Unnamed: 0_count,pl_count_sum,pl_count_count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,pl_count
18,finland,96668,50,740.0,50,0.1937829725344239,0.19428705740841082,1.5354309380063482,-1.8548121612696917,0.15644013330630718,0.021417813065435727,0.05009947931508966,0.0010614342527989506,0.04797903006924213,0.1537632688030659,35.135636975455995,21.264269971635088,4.2876184683950855
19,france,104019,50,602.0,50,0.2278895814288539,0.20217744008884103,1.6144280804440232,-1.8735615935473529,0.10683715238232507,0.059683388098915005,0.06867527767519982,0.0001351064409646089,0.04583551253095928,0.18033339720480376,35.779940394761304,22.257740079651054,3.573109207453316
20,germany,87422,50,831.0,50,0.255071102892161,0.2199816305551487,2.0326844712488072,-2.2084740357068067,0.15741327555125445,0.04669014633959382,0.07222851343009004,0.004201314332410297,0.04965362235323267,0.17808916709213882,41.88555781105206,27.793709217984535,5.68741008622141
21,global,73275,50,1207.0,50,0.1772717173099509,0.16900109399922433,1.1096058761118726,-1.6796131210263372,0.1732067709052679,0.019897669078901732,0.07315728970014208,0.0008634911791294503,0.04446380190485951,0.12938491659507606,33.195792121924576,23.794280153111178,6.533142890083074
22,greece,95229,50,294.0,50,0.21787734948607623,0.2020818684531385,1.6388652407383986,-2.253127832406053,0.15899438902685956,0.06111377404063957,0.08558050329266169,0.0005160348796998512,0.0504495311551034,0.16099588377795535,36.852618418460395,18.425003620689534,1.797859629765258
23,guatemala,65540,50,641.0,50,0.20542153531967836,0.18280972980369373,1.3492758790827744,-1.4639471769927874,0.17151812022238658,0.02619882113690214,0.0791275978563284,5.5256677819791256e-05,0.04516129278162179,0.16405136472203868,35.97560554948783,24.14975132731203,3.664770502084993
24,honduras,59764,50,849.0,50,0.20254598692571413,0.1832066472320835,1.2719611465642116,-1.4789424067053365,0.1493171780749292,0.026074650477980875,0.06571338401760539,0.0005657310993025596,0.04285790129360291,0.1518389793046391,33.63401511679737,23.641886528530456,4.6951957105783295
25,hong_kong,95030,50,476.0,50,0.15233318437878463,0.1460149607476971,1.229107812478441,-1.9190944014900988,0.1980793582093355,0.014146929342468797,0.10948511471715243,7.044880296157423e-05,0.03677876575736108,0.11789784979777705,30.940112568329972,16.085059678178606,2.417583961734454
26,hungary,77227,50,840.0,50,0.24232675254971192,0.22382441340025286,1.963146941655508,-1.8659775835564416,0.1668033349119059,0.03560096408050571,0.07938196370509126,0.0008941257318629972,0.0497593594580859,0.1842278678973188,38.51572404783364,24.27630074256354,5.389030820230807
27,iceland,102720,50,636.0,50,0.19644310846717025,0.14241296789659627,1.5032703528157763,-2.618874506221556,0.21898032698497527,0.02175362405043176,0.11711268520483097,0.0003680565111284914,0.03891813065372433,0.1585654302859853,35.486998930843335,18.826389733492064,3.7640942692552506
28,india,93402,50,446.0,50,0.17454640236689306,0.16265354571398125,1.5881765095503404,-1.6835251397964677,0.10552667837543789,0.01781395857655767,0.08447484472628665,0.0011834722533428214,0.0329760317255406,0.12608327532297317,30.30365829335924,19.891778873770043,2.353244927772265
