track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,duration_ms,time_signature,update_dttm,name,artist,album_img,preview_url,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
509dhY7XXIYcAN8y7pUNpR,0.781,0.559,1,-6.958,1,0.0602,0.0381,3.58e-06,0.0564,0.461,82.007,198000,4,12/4/2021 10:20,Molq te spri,Marso,https://i.scdn.co/image/ab67616d0000b273685f0bed194ca216175290a6,https://p.scdn.co/mp3-preview/496c0c0894d617ab54855ebb743f21d11ef3fb80?cid=92635a7f55d045ebb6fb8dee4927d449,39,3,0.3918193,0.231961442,5.7931314,2436.751253,2794.661788,21.61247554,0.01539737,5565.733011,2.845869347,-0.054746669,0.079621968,1.8352486,10.419125,0.2418075,161.4990234
6M47gaKejso9772SKTa3yH,0.693,0.935,8,-4.323,1,0.224,0.18,0.0,0.179,0.391,80.882,219802,4,12/4/2021 10:20,Face Off,Tech N9ne,https://i.scdn.co/image/ab67616d0000b2735ee0a1dafbbf6d8d430821a3,https://p.scdn.co/mp3-preview/018a8132c71a4099bbdecd11c5eada8a5eb8db37?cid=92635a7f55d045ebb6fb8dee4927d449,83,8,0.44351017,0.235481769,6.3072424,2527.346101,2624.754129,20.43188303,0.021288712,5409.042292,4.188026203,0.071103687,0.100326302,1.8550434,20.992887,0.3555295,161.4990234
2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,202093,4,12/4/2021 10:20,Lost in the Fire (feat. The Weeknd),Gesaffelstein,https://i.scdn.co/image/ab67616d0000b273011a2f51fe757fafe13a0c2e,https://p.scdn.co/mp3-preview/4a66f2cb9b135677eb5f3eebcb150e7823d96113?cid=92635a7f55d045ebb6fb8dee4927d449,85,3,0.37419003,0.254475557,2.6972365,2326.461623,2581.80347,21.61357583,0.016308554,5304.309592,1.672233442,0.016776967,0.086135156,1.6627718,11.87632,0.15146412,135.9991776
6y3wHQejSy75H4ULCczm54,0.763,0.321,2,-13.27,1,0.353,0.0756,0.0,0.0731,0.312,137.022,157727,4,12/4/2021 10:20,Z Ghetta,Sergei Barracuda,https://i.scdn.co/image/ab67616d0000b2731b6c87a7f958643a29e26687,https://p.scdn.co/mp3-preview/0a7c553bcc78f8604cfdf178356046fb9ab8b52b?cid=92635a7f55d045ebb6fb8dee4927d449,47,9,0.57505774,0.236257506,5.4463687,2524.028126,2730.26772,21.0306699,0.012532521,5615.641043,1.721093265,-0.014066962,0.053852282,2.0134919,4.046286,0.056170322,135.9991776
2m7zaKMSdR5VgQ0mtvaNN4,0.78,0.464,4,-9.014,0,0.0846,0.456,0.0,0.131,0.595,139.986,208353,4,12/4/2021 10:20,Nemusíš se bát,Sergei Barracuda,https://i.scdn.co/image/ab67616d0000b2731b6c87a7f958643a29e26687,https://p.scdn.co/mp3-preview/f3d9c8dcb8f35134cc88d921ec91399d188e6661?cid=92635a7f55d045ebb6fb8dee4927d449,51,0,0.4286845,0.238756356,3.9502304,2294.091151,2516.372605,20.88198612,0.025314413,4824.870825,2.398665682,0.046470731,0.084637432,1.9739771,18.238016,0.19309752,135.9991776
375kzpRydDdOxOSCGMK53b,0.544,0.732,9,-5.984,1,0.0524,0.00197,5.06e-05,0.486,0.45,124.875,175644,4,12/4/2021 10:20,Follow You,Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2738b0da998550d749d2e0b61d9,,75,1,,,,,,,,,,,,,,,
7JAPo0o6KfpKdZiGLoRCNh,0.828,0.653,5,-7.833,0,0.0429,0.297,0.0,0.115,0.505,103.971,171733,4,12/4/2021 10:20,الغسالة,Wegz,https://i.scdn.co/image/ab67616d0000b2730601d1d8226ee3fd1bb75af1,https://p.scdn.co/mp3-preview/ff1a9a57921eb52044453c854d55754093f26616?cid=92635a7f55d045ebb6fb8dee4927d449,50,0,0.4090654,0.2167159,7.8315935,2241.700636,2514.517391,21.95965524,0.011621424,4989.278164,2.277448506,-0.066818702,0.077877458,1.675643,7.917674,0.15465343,103.359375
4H1CfsnXQonWnJeHzHuVUz,0.763,0.762,5,-5.112,0,0.0773,0.148,0.0,0.196,0.789,135.014,179027,4,12/4/2021 10:20,N.I,Niska,https://i.scdn.co/image/ab67616d0000b273fa302c0ce01c73ef0296b212,,72,4,,,,,,,,,,,,,,,
7cNwWRGAHtD0xaZ6xQzljl,0.599,0.9,11,-4.214,1,0.103,0.238,0.0,0.38,0.687,108.044,194292,4,12/4/2021 10:20,All In One,Mirror,https://i.scdn.co/image/ab67616d0000b27318bc13a1761f2193ccb7a6dd,https://p.scdn.co/mp3-preview/24fac4fd0846295e73edf4a46904c35bbe3be760?cid=92635a7f55d045ebb6fb8dee4927d449,54,8,0.3297221,0.258229122,3.549833,3040.369178,2890.217663,20.26300308,0.04473194,6682.567925,3.489418391,-0.011696426,0.137744821,1.3168344,22.818584,0.40728664,107.6660156
6qLniagBCgRqiHD6kG97FP,0.684,0.117,2,-12.232,0,0.0349,0.935,0.0,0.0762,0.671,125.928,193283,3,12/4/2021 10:20,Sofðu,Hafdís Huld,https://i.scdn.co/image/ab67616d0000b273b0fff6cd2fec3355495f54b6,https://p.scdn.co/mp3-preview/dc660aa46bbec2832332b6954f00347ffbe1d3ac?cid=92635a7f55d045ebb6fb8dee4927d449,42,5,0.198824,0.187773275,-9.39092,1902.626347,2423.805146,24.86763856,0.004947868,4541.505871,1.307961983,0.096084973,0.059164419,1.3209453,3.8142588,0.1972993,123.046875
