,track_id,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo
1059,53yiHIP3ptxWtT4ambRcgb,0.4757382,0.2657981722166854,8.049394,2702.188106868016,2830.8326103697905,19.938976949151183,0.030347476,6083.846545145608,3.706689291738857,0.0072100626788392,0.1073848381869195,1.2857199,19.004486,0.33055845,123.046875
1060,1pbb71pOKB5iqfkju4NmPj,0.30408558,0.2189543346781062,3.8325555,2451.181139426846,2652.0160998783444,22.01530602040365,0.02432538,5289.226350105215,2.1150658148399537,-0.0027292820476651,0.0982378791360294,1.6624323,15.14061,0.23763439,86.1328125
1061,5rY7xc2h5Imj6iFn97h8Qj,0.31480044,0.2331448680882793,7.5052023,2353.7012471271523,2646.2077695831717,22.918252438091727,0.011321899,5214.243470183098,2.814011740347473,-0.0175431673188264,0.0808524967347136,1.41859,8.198472,0.21697868,135.99917763
1062,3V2v19gDm4rmRkMwcgS4X2,0.35590369,0.2403888287349623,5.889479,2080.544240053346,2492.314756124576,21.03800547012306,0.015652213,4463.281344481666,3.315819401029682,0.0694600278561965,0.0818290592347136,1.275606,15.721136,0.4254365,129.19921875
1063,7xv1df9mhiy8JyPvaUW61f,0.3255066,0.2405288834670627,4.356248,2024.5321155119848,2480.5099187935034,21.431050136241662,0.011530374,4525.222636597813,3.373946700849628,0.0203948799832788,0.0723064410797213,1.1869824,9.589477,0.415455,143.5546875
1064,5cU1O9P0EDA0rPkPDykhIm,0.28536013,0.2316500567320177,5.4978185,1958.7734328126476,2322.5229609439493,22.94138286620677,0.011702215,4210.774538022446,3.019378603450566,0.0066858784527421,0.0737822447029798,1.3423871,10.55826,0.3359864,135.99917763
1065,19fp9nI0tq0lcBl7XoCHAb,0.262854,0.2008448298694554,-6.135815,1528.912665106326,1936.0435264396551,23.49705403464672,0.0061745467,3003.281839565596,1.8250601718899744,-0.1053428105907138,0.0615355311532507,1.1214467,8.851166,0.28931308,135.99917763
1066,6zpW8dKlAei8kiPZuUthq7,0.4150905,0.2654280704413777,5.783005,3196.562398093713,2986.6536978752733,19.927946464848237,0.057883833,6974.207827919408,4.019411761654698,0.0044830382763495,0.1483430183339783,1.3174924,23.44455,0.40084836,117.45383523
1067,2qlUhwv6Hqx5ZZHCucRlGF,0.36484373,0.2420455428348925,6.9824038,2113.332100628959,2462.67097131482,21.07353586414085,0.011433431,4875.478851979731,3.088639928625322,0.0246216090556042,0.0761208549003483,1.0336825,8.513779,0.3145885,123.046875
1068,69zgyr5HVKdInjeKpq1qHa,0.34634167,0.2546225145270473,8.549355,2123.043553474477,2433.412547753781,20.89661957456304,0.01566471,4617.963742471701,4.242221287829844,-0.0464313660421564,0.0888225921536377,1.2262366,16.323492,0.48023367,129.19921875
1069,1uFmbLzPHHoweD5HEKg240,0.29266956,0.2359669046851054,5.222869,1997.883477555283,2389.983539234077,22.061377878773904,0.009104346,4224.674453971556,3.5354911553653827,-0.0013960363770769,0.0795342885303792,1.2805573,8.322788,0.38151175,129.19921875
1070,3CEkc8f1UDvI7kohz3ARpA,0.2706236,0.2442798878788608,6.753124,2494.4433984590246,2671.5974979207203,23.69736612818156,0.0140926475,5437.608786190257,2.8833966273107965,-0.0124421784099017,0.1132498820868808,1.485735,12.591167,0.3067375,151.99908088
1071,4E5PyVOBH25CICgTURwGXM,0.38511145,0.2503331656253261,5.076386,2179.418564619405,2479.477512058363,21.036530677223517,0.018818712,4600.397182027622,2.7344246437828787,0.0113676597023286,0.084163134312113,1.7995175,12.479606,0.25481668,99.38401442
1072,7tgzj2IqzSgUpxUhjmcF5m,0.35572374,0.2564818682579081,7.5451274,2081.012685689825,2485.112624502732,20.136789922157668,0.014632327,4638.446951945869,4.038625155498431,0.001231022349093,0.080453406177438,1.0672258,16.028625,0.44846982,99.38401442
1073,7I29FyReXZthfKIpO52Jm6,0.3100876,0.2345568966966589,9.110756,2894.7167194407552,2835.8737364878957,20.390329615777176,0.032115698,6406.952924698868,4.4440588068633335,0.0503382931629901,0.1296447187016254,1.1722841,13.995859,0.4457109,135.99917763
1074,74nVCj4vMVemLIs71vXcnP,0.3375255,0.24274297159019,3.6093354,2824.5738466050384,3131.9120802398616,21.47702260990468,0.0268315,6734.77594239793,2.6160132682226216,-0.037136782916932,0.1111633489744582,1.4088224,11.386803,0.3082764,89.10290948
1075,47O6EPP78iQOOma2OVsYwS,0.29148313,0.2467173211176258,7.2382054,2293.6979218755487,2480.004319587416,20.9363007478983,0.014959761,4931.745178411619,3.818158517294273,0.0100241568764891,0.0980421131240325,1.1121814,15.106913,0.41396758,112.34714674
