country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_1,duration_ms,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo_2,adv_kmeans_cluster,pl_count
netherlands,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
new_zealand,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
nicaragua,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
norway,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
panama,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
peru,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
philippines,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
poland,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
portugal,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
romania,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
saudi_arabia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
singapore,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
slovakia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
south_africa,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
south_korea,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
spain,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
sweden,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
switzerland,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
taiwan,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
thailand,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
uae,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
united_kingdom,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
united_states,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
vietnam,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
uruguay,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
global,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
australia,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
austria,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
belgium,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
bolivia,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
bulgaria,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
canada,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
colombia,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
costa_rica,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
czech_republic,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
denmark,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
dominican_republic,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
ecuador,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
egypt,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
el_salvador,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
estonia,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
finland,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
france,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
germany,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
greece,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
guatemala,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
honduras,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
hong_kong,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
hungary,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
iceland,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
india,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
indonesia,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
ireland,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,92,6,0.37063235,0.248972196,7.376078,2704.788753,2800.904178,21.10127946,0.027750738,6102.838097,3.796993003,-0.027775667,0.107176601,1.5048147,13.420836,0.28461888,172.265625,6,64
